pnu,is_res,n_bld,gu,in_national
1111015500100980001,False,1,11110,False
1111015500101060000,False,1,11110,False
1111015500101300001,False,1,11110,False
1111015500101400000,False,1,11110,False
1111015500101540001,False,1,11110,False
1111015500101570001,False,2,11110,False
1111015500101590002,False,1,11110,False
1111015500101620000,False,2,11110,False
1111015600101170000,False,1,11110,False
1111015600101370001,False,1,11110,False
1111015600101500000,False,1,11110,False
1111015600101650000,False,2,11110,False
1111015700100040000,False,1,11110,False
1111015700100090000,False,1,11110,False
1111015700100220001,True,1,11110,False
1111015700100280026,False,1,11110,False
1111015700100380000,False,1,11110,False
1111015700100480015,False,1,11110,False
1111015700100480057,False,5,11110,False
1111015700100570002,True,1,11110,False
1111015700100730000,False,1,11110,False
1111015700100940000,False,1,11110,False
1111015800100470000,False,1,11110,False
1111015800100630000,False,1,11110,False
1111015800100680000,True,2,11110,False
1111015800100810000,False,1,11110,False
1111015800100940002,False,1,11110,False
1111015800100990000,False,1,11110,False
1111015800101050000,False,1,11110,False
1111015800101180001,True,1,11110,False
1111015800101180002,False,2,11110,False
1111015800101200001,True,1,11110,False
1111015800101200002,False,1,11110,False
1111015800101210000,True,1,11110,False
1111015800101220000,False,1,11110,False
1111015800101260001,True,1,11110,False
1111015800101260002,False,1,11110,False
1111015800101260003,False,1,11110,False
1111015800101290000,False,1,11110,False
1111015800101320000,False,1,11110,False
1111015800101330000,False,1,11110,False
1111015800101360001,False,1,11110,False
1111015800101380001,False,1,11110,False
1111015800101510002,False,1,11110,False
1111015800101590000,False,1,11110,False
1111015800101610001,True,1,11110,False
1111015800101620001,False,1,11110,False
1111015800101620002,False,1,11110,False
1111015900100220001,False,1,11110,False
1111015900100230004,True,1,11110,False
1111015900100400000,False,1,11110,False
1111015900100430000,False,1,11110,False
1111015900100570000,True,1,11110,False
1111015900100660006,False,1,11110,False
1111015900100660009,False,1,11110,False
1111015900101030000,False,2,11110,False
1111015900101180001,True,1,11110,False
1111015900101260000,False,1,11110,False
1111015900101510002,False,1,11110,False
1111015900101770001,False,1,11110,False
1111015900101890009,False,1,11110,False
1111015900102280001,True,1,11110,False
1111015900102340000,False,1,11110,False
1111016000100040001,False,1,11110,False
1111016000100060001,True,1,11110,False
1111016000100080000,True,1,11110,False
1111016000100360001,True,1,11110,False
1111016000100400000,False,1,11110,False
1111016000100420000,False,1,11110,False
1111016000100550001,False,1,11110,False
1111016000100740010,False,1,11110,False
1111016000100740012,True,1,11110,False
1111016000101110000,False,1,11110,False
1111016000101130000,False,1,11110,False
1111016000101190000,True,1,11110,False
1111016000101330000,False,1,11110,False
1111016000101550001,False,1,11110,False
1111016000101570000,False,1,11110,False
1111016000101680000,False,1,11110,False
1111016000101930001,False,1,11110,False
1111016000102220000,False,1,11110,False
1111016000102280001,False,1,11110,False
1111016000102290001,True,1,11110,False
1111016000102380002,False,1,11110,False
