NTFC_SN,area_ha,n_seo,n_nat,d_seo,d_nat
11000NTC201207136551,1.2313516151888788,6.0,1.0,4.872694302739556,0.8121157171232594
11000NTC199009051891,18.67756615590079,108.0,41.0,5.782337971582,2.1951468225450186
11000NTC201206216518,2.2811607401009866,12.0,0.0,5.260479802694116,0.0
11000NTC200011109987,21.96992701776101,203.0,48.0,9.23990324755699,2.1848047087819484
11000NTC199009031885,3.363722483622335,19.0,11.0,5.648504028649601,3.2701865429024
11000NTC200604269983,5.257476495641157,37.0,21.0,7.037596845307017,3.994311723012091
11000NTC199012122055,0.793355300477952,47.0,30.0,59.242057085501465,37.814078990745614
11000NTC199107112474,1.2935231321371636,5.0,4.0,3.865412125826449,3.0923297006611588
11000NTC198411176431,3.541431422817824,18.0,9.0,5.082690542593614,2.541345271296807
11000NTC198807019868,7.485042610417388,26.0,18.0,3.473594120067429,2.404795929277451
11000NTC201504167457,1.5616491260205827,148.0,1.0,94.77160876536702,0.6403487078741015
11000NTC200401265653,2.827055044710142,22.0,13.0,7.781949644441982,4.598424789897535
11000NTC199503185125,5.69282452369067,28.0,21.0,4.918472347685774,3.6888542607643307
11140NTC202007090010,0.007742765813641984,0.0,0.0,0.0,0.0
11000NTC198903140455,1.6032192830694871,9.0,4.0,5.61370493421761,2.4949799707633824
11170NTC202009160003,5.293860623279157,4.0,0.0,0.7555922387549173,0.0
11000NTC201904023220,18.109763764583533,656.0,3.0,36.22355368781288,0.16565649552353454
11000NTC201808260001,2.8241568948474147,228.0,0.0,80.73205862463902,0.0
11000NTC198107104287,0.7642377060703985,4.0,4.0,5.233973629183295,5.233973629183295
11000NTC200306164396,2.570993158725357,18.0,12.0,7.001185490872333,4.6674569939148896
11000NTC201305306841,1.191127979118855,5.0,4.0,4.197701747967321,3.358161398373857
11200NTC202403150003,1.1463441358638788,77.0,45.0,67.1700561733787,39.25522763379274
11140NTC202106080005,0.19802646772960839,14.0,2.0,70.69762017426905,10.099660024895577
11000NTC200710181503,3.7759732615205954,14.0,5.0,3.7076533731497237,1.3241619189820442
11000NTC200301233763,6.374374173032022,39.0,26.0,6.118247680689466,4.078831787126311
11000NTC201501227388,3.145699667509372,2.0,2.0,0.635788603933545,0.635788603933545
